"ID";"Sex";"Age";"Periods";"TotalSuicides_1";"Unmarried_2";"Married_3";"Widowed_4";"Divorced_5";"HangingStrangulation_6";"DrugsMedicinesAlcohol_7";"TrainMetro_8";"Drowning_9";"JumpingFromHeight_10"
"103";"T001038";"41400";"1981JJ00";"      37";"      37";"       0";"       0";"       0";"      19";"       3";"       7";"       3";"       2"
"104";"T001038";"41400";"1982JJ00";"      58";"      58";"       0";"       0";"       0";"      27";"       6";"       4";"       1";"       9"
"105";"T001038";"41400";"1983JJ00";"      38";"      38";"       0";"       0";"       0";"      22";"       5";"       6";"       1";"       3"
"106";"T001038";"41400";"1984JJ00";"      42";"      42";"       0";"       0";"       0";"      21";"       2";"       8";"       0";"       7"
"107";"T001038";"41400";"1985JJ00";"      51";"      51";"       0";"       0";"       0";"      24";"       8";"      12";"       1";"       4"
"108";"T001038";"41400";"1986JJ00";"      37";"      37";"       0";"       0";"       0";"      16";"       0";"      11";"       0";"       7"
"109";"T001038";"41400";"1987JJ00";"      45";"      45";"       0";"       0";"       0";"      17";"       3";"      11";"       0";"      10"
"110";"T001038";"41400";"1988JJ00";"      35";"      35";"       0";"       0";"       0";"      22";"       1";"       4";"       1";"       4"
"111";"T001038";"41400";"1989JJ00";"      47";"      47";"       0";"       0";"       0";"      20";"       2";"       9";"       0";"       8"
"112";"T001038";"41400";"1990JJ00";"      54";"      53";"       1";"       0";"       0";"      24";"       2";"      13";"       0";"      10"
"113";"T001038";"41400";"1991JJ00";"      35";"      33";"       2";"       0";"       0";"      17";"       0";"       9";"       1";"       5"
"114";"T001038";"41400";"1992JJ00";"      38";"      38";"       0";"       0";"       0";"      14";"       1";"      13";"       0";"       4"
"115";"T001038";"41400";"1993JJ00";"      48";"      48";"       0";"       0";"       0";"      15";"       6";"      16";"       0";"       7"
"116";"T001038";"41400";"1994JJ00";"      37";"      37";"       0";"       0";"       0";"      20";"       3";"      10";"       2";"       1"
"117";"T001038";"41400";"1995JJ00";"      38";"      38";"       0";"       0";"       0";"      14";"       6";"       9";"       0";"       6"
"118";"T001038";"41400";"1996JJ00";"      42";"      42";"       0";"       0";"       0";"      18";"       3";"      10";"       1";"       8"
"119";"T001038";"41400";"1997JJ00";"      56";"      56";"       0";"       0";"       0";"      22";"       1";"      17";"       2";"       7"
"120";"T001038";"41400";"1998JJ00";"      49";"      48";"       1";"       0";"       0";"      26";"       1";"      10";"       2";"       5"
"121";"T001038";"41400";"1999JJ00";"      54";"      52";"       2";"       0";"       0";"      28";"       2";"      12";"       3";"       8"
"122";"T001038";"41400";"2000JJ00";"      48";"      48";"       0";"       0";"       0";"      31";"       0";"      10";"       3";"       2"
"123";"T001038";"41400";"2001JJ00";"      36";"      36";"       0";"       0";"       0";"      14";"       2";"      11";"       2";"       4"
"124";"T001038";"41400";"2002JJ00";"      45";"      45";"       0";"       0";"       0";"      25";"       3";"      11";"       0";"       4"
"125";"T001038";"41400";"2003JJ00";"      34";"      34";"       0";"       0";"       0";"      15";"       1";"      11";"       1";"       3"
"126";"T001038";"41400";"2004JJ00";"      41";"      41";"       0";"       0";"       0";"      24";"       1";"       7";"       0";"       6"
"127";"T001038";"41400";"2005JJ00";"      51";"      51";"       0";"       0";"       0";"      26";"       2";"      18";"       0";"       5"
"128";"T001038";"41400";"2006JJ00";"      48";"      48";"       0";"       0";"       0";"      21";"       2";"      14";"       1";"       7"
"129";"T001038";"41400";"2007JJ00";"      42";"      42";"       0";"       0";"       0";"      20";"       0";"      14";"       1";"       6"
"130";"T001038";"41400";"2008JJ00";"      34";"      34";"       0";"       0";"       0";"      16";"       0";"      11";"       1";"       4"
"131";"T001038";"41400";"2009JJ00";"      52";"      52";"       0";"       0";"       0";"      22";"       2";"      20";"       1";"       4"
"132";"T001038";"41400";"2010JJ00";"      55";"      55";"       0";"       0";"       0";"      26";"       0";"      19";"       1";"       6"
"133";"T001038";"41400";"2011JJ00";"      44";"      44";"       0";"       0";"       0";"      15";"       0";"      20";"       0";"       6"
"134";"T001038";"41400";"2012JJ00";"      51";"      51";"       0";"       0";"       0";"      22";"       2";"      22";"       1";"       0"
"135";"T001038";"41400";"2013JJ00";"      58";"      58";"       0";"       0";"       0";"      32";"       1";"      20";"       1";"       1"
"136";"T001038";"41400";"2014JJ00";"      55";"      54";"       1";"       0";"       0";"      26";"       4";"      18";"       0";"       4"
"137";"T001038";"41400";"2015JJ00";"      48";"      48";"       0";"       0";"       0";"      17";"       1";"      23";"       2";"       3"
"138";"T001038";"41400";"2016JJ00";"      48";"      48";"       0";"       0";"       0";"      23";"       2";"      19";"       2";"       1"
"139";"T001038";"41400";"2017JJ00";"      81";"      81";"       0";"       0";"       0";"      48";"       3";"      23";"       0";"       3"
"140";"T001038";"41400";"2018JJ00";"      51";"      51";"       0";"       0";"       0";"      30";"       3";"      11";"       2";"       3"
"141";"T001038";"41400";"2019JJ00";"      67";"      67";"       0";"       0";"       0";"      32";"       2";"      20";"       0";"       8"
"142";"T001038";"41400";"2020JJ00";"      62";"      62";"       0";"       0";"       0";"      35";"       3";"      15";"       2";"       7"
"143";"T001038";"41400";"2021JJ00";"      56";"      56";"       0";"       0";"       0";"      26";"       2";"      13";"       0";"       8"
"144";"T001038";"60300";"1950JJ00";"      51";"      38";"      13";"       0";"       0";"      20";"       4";"";"       3";"       3"
"145";"T001038";"60300";"1951JJ00";"      49";"      37";"      12";"       0";"       0";"      15";"       4";"";"       7";"       1"
"146";"T001038";"60300";"1952JJ00";"      55";"      42";"      13";"       0";"       0";"      17";"       3";"";"       9";"       0"
"147";"T001038";"60300";"1953JJ00";"      44";"      38";"       6";"       0";"       0";"      11";"       3";"";"       6";"       1"
"148";"T001038";"60300";"1954JJ00";"      52";"      47";"       5";"       0";"       0";"      16";"       5";"";"       5";"       0"
"149";"T001038";"60300";"1955JJ00";"      53";"      41";"      10";"       0";"       2";"      21";"       3";"";"       4";"       1"
"150";"T001038";"60300";"1956JJ00";"      47";"      32";"      14";"       0";"       1";"      20";"       2";"";"       5";"       2"
"151";"T001038";"60300";"1957JJ00";"      49";"      32";"      14";"       0";"       3";"      16";"       2";"";"       7";"       1"
"152";"T001038";"60300";"1958JJ00";"      56";"      40";"      13";"       0";"       3";"      12";"       2";"";"      14";"       1"
"153";"T001038";"60300";"1959JJ00";"      45";"      35";"       9";"       0";"       1";"       9";"       4";"";"       7";"       2"
"154";"T001038";"60300";"1960JJ00";"      53";"      39";"      14";"       0";"       0";"      13";"       7";"";"       8";"       2"
"155";"T001038";"60300";"1961JJ00";"      67";"      51";"      15";"       0";"       1";"      12";"       5";"";"      13";"       5"
"156";"T001038";"60300";"1962JJ00";"      58";"      40";"      17";"       0";"       1";"      16";"       9";"";"       7";"       1"
"157";"T001038";"60300";"1963JJ00";"      57";"      38";"      13";"       0";"       6";"      14";"      14";"";"       3";"       3"
"158";"T001038";"60300";"1964JJ00";"      76";"      57";"      19";"       0";"       0";"      25";"      13";"";"       8";"       2"
